anomaly_id,test_run_id,timestamp,anomaly_type,severity,description
1,1,2023-01-10 08:45:12,over_temperature,medium,Battery temperature exceeded expected range
2,2,2023-01-11 10:52:33,voltage_drop,high,Sudden inverter voltage dip detected
3,3,2023-01-12 09:32:10,sensor_timeout,low,ECU sensor response delayed
4,4,2023-01-13 14:42:55,pressure_out_of_range,medium,Brake pressure reading unstable
5,5,2023-01-14 09:12:44,vibration_spike,high,Steering sensor vibration exceeded threshold
6,6,2023-01-15 13:42:18,voltage_drop,medium,12V battery voltage sag under load
7,7,2023-01-16 10:12:03,current_spike,high,DC-DC converter current spike detected
8,8,2023-01-17 15:42:27,sensor_timeout,low,Airbag ECU delayed response
9,9,2023-01-18 10:42:51,vibration_spike,medium,Wheel speed sensor vibration anomaly
10,10,2023-01-19 08:42:10,over_temperature,high,Onboard charger overheating event
11,11,2023-01-20 11:42:33,voltage_drop,medium,Inverter voltage instability
12,12,2023-01-21 10:12:14,sensor_timeout,low,ECU firmware test delay
13,13,2023-01-22 14:42:55,vibration_spike,medium,Brake sensor vibration irregularity
14,14,2023-01-23 09:12:40,alignment_error,low,Steering sensor misalignment detected
15,15,2023-01-24 10:42:22,voltage_drop,medium,12V battery discharge anomaly
16,16,2023-01-25 14:12:18,current_spike,high,DC-DC converter ripple exceeded limits
17,17,2023-01-26 09:42:33,fault_injection_detected,low,Airbag ECU fault injection response abnormal
18,18,2023-01-27 15:42:10,latency_spike,medium,Wheel speed sensor latency increased
19,19,2023-01-28 09:12:44,efficiency_drop,medium,Onboard charger efficiency reduced
20,20,2023-01-29 11:42:55,thermal_runaway_risk,high,Battery thermal runaway threshold approached
21,21,2023-01-30 09:42:12,over_temperature,medium,ECU temperature exceeded safe range
22,22,2023-01-31 14:42:33,pressure_out_of_range,medium,Brake sensor pressure drift
23,23,2023-02-01 08:42:10,vibration_spike,low,Steering sensor vibration irregularity
24,24,2023-02-02 10:42:27,voltage_drop,medium,12V battery recharge instability
25,25,2023-02-03 13:42:55,current_spike,high,DC-DC converter thermal drift event
