reading_id,test_run_id,timestamp,sensor_type,value
1,1,2023-01-10 08:00:01,temperature,18.7
2,1,2023-01-10 08:00:03,voltage,398.2
3,1,2023-01-10 08:00:05,current,112.4
4,1,2023-01-10 08:00:07,vibration,0.32
5,1,2023-01-10 08:00:09,temperature,18.8
6,1,2023-01-10 08:00:11,voltage,397.9
7,1,2023-01-10 08:00:13,current,113.1
8,1,2023-01-10 08:00:15,vibration,0.35
9,1,2023-01-10 08:00:17,temperature,18.9
10,1,2023-01-10 08:00:19,voltage,398.0
11,1,2023-01-10 08:00:21,current,112.8
12,1,2023-01-10 08:00:23,vibration,0.33
13,1,2023-01-10 08:00:25,temperature,19.0
14,1,2023-01-10 08:00:27,voltage,397.7
15,1,2023-01-10 08:00:29,current,113.0
16,1,2023-01-10 08:00:31,vibration,0.36
17,1,2023-01-10 08:00:33,temperature,19.1
18,1,2023-01-10 08:00:35,voltage,397.5
19,1,2023-01-10 08:00:37,current,112.9
20,1,2023-01-10 08:00:39,vibration,0.34
21,2,2023-01-11 10:15:02,temperature,17.3
22,2,2023-01-11 10:15:04,voltage,402.1
